State,District,SubDistrict,VillageName,Population,Area_Hectares,Literacy_Rate
Tamil Nadu,Chennai,Chennai Taluka,Moti Wadi 782,2346,835.06,92.41
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Nayakalan 783,13338,371.51,41.46
West Bengal,Durgapur,Durgapur Taluka,Naya Nagar 784,7207,142.15,56.84
Uttar Pradesh,Kanpur,Kanpur Taluka,Puranagar 785,7485,938.99,88.79
Maharashtra,Mumbai,Mumbai Taluka,Badi Peta 786,1642,4825.49,75.45
Uttar Pradesh,Kanpur,Kanpur Taluka,Purapur 787,521,3823.3,79.92
Rajasthan,Jaipur,Jaipur Taluka,Naya Halli 788,716,1771.42,65.94
Uttar Pradesh,Meerut,Meerut Taluka,Hari Nagar 789,13436,2735.01,54.46
Gujarat,Surat,Surat Taluka,Hariwadi 790,9361,159.7,67.36
Rajasthan,Jaipur,Jaipur Taluka,Pura Wadi 791,2213,251.17,47.1
Karnataka,Belgaum,Belgaum Taluka,Kalapeta 792,13026,3451.33,81.11
Rajasthan,Jaipur,Jaipur Taluka,Hari Peta 793,9580,4555.94,62.98
Bihar,Bhagalpur,Bhagalpur Taluka,Motiwadi 794,8991,1792.78,60.63
Uttar Pradesh,Kanpur,Kanpur Taluka,Nayapeta 795,1949,3961.35,62.58
Bihar,Bhagalpur,Bhagalpur Taluka,Chhotiwadi 796,9547,4396.36,80.46
Haryana,Gurugram,Gurugram Taluka,Chhotigarh 797,2217,2579.31,90.8
Punjab,Patiala,Patiala Taluka,Badinagar 798,9344,1919.09,52.63
Punjab,Bathinda,Bathinda Taluka,Lal Khurd 799,2520,2322.07,76.41
West Bengal,Howrah,Howrah Taluka,Pura Nagar 800,10828,184.36,54.28
Haryana,Rohtak,Rohtak Taluka,Chhoti Gaon 801,12695,3297.34,69.87
Tamil Nadu,Salem,Salem Taluka,Moti Garh 802,5281,1078.89,62.48
Punjab,Jalandhar,Jalandhar Taluka,Purapeta 803,10621,1000.43,
Bihar,Gaya,Gaya Taluka,Motipeta 804,5805,1652.94,56.98
Karnataka,Hubli,Hubli Taluka,Chhoti Peta 805,7626,1160.68,48.61
Haryana,Faridabad,Faridabad Taluka,Nava Peta 806,14216,2952.78,50.93
Karnataka,Bangalore,Bangalore Taluka,Chhoti Pur 807,11020,892.32,79.11
Haryana,Panipat,Panipat Taluka,Puragaon 808,13885,4870.92,58.97
Rajasthan,Kota,Kota Taluka,Navanagar 809,10450,3832.28,74.8
West Bengal,Darjeeling,Darjeeling Taluka,Moti Halli 810,12281,3448.3,65.34
Gujarat,Bhavnagar,Bhavnagar Taluka,Kala Garh 811,253,1619.73,48.88
Punjab,Amritsar,Amritsar Taluka,Lal Garh 812,7137,3011.91,50.38
Gujarat,Surat,Surat Taluka,Harigaon 813,6016,2306.91,65.1
Bihar,Bhagalpur,Bhagalpur Taluka,Motipur 814,3199,2431.7,58.9
Maharashtra,Mumbai,Mumbai Taluka,Puragaon 815,5573,4867.57,59.78
Punjab,Patiala,Patiala Taluka,Pura Kalan 816,10486,1660.24,56.87
West Bengal,Siliguri,Siliguri Taluka,Harinagar 817,2770,4362.95,
Gujarat,Bhavnagar,Bhavnagar Taluka,Pura Khurd 818,14669,2107.7,57.51
Uttar Pradesh,Kanpur,Kanpur Taluka,Lalkalan 819,5436,3442.58,79.51
Tamil Nadu,Salem,Salem Taluka,Pura Gaon 820,9489,742.57,86.66
Punjab,Bathinda,Bathinda Taluka,Nava Garh 821,4544,85.74,92.74
West Bengal,Howrah,Howrah Taluka,Pura Khurd 822,5712,4284.29,91.07
West Bengal,Durgapur,Durgapur Taluka,Nava Nagar 823,10041,950.84,45.26
Uttar Pradesh,Varanasi,Varanasi Taluka,Lalgaon 824,5216,2235.38,
West Bengal,Durgapur,Durgapur Taluka,Navagarh 825,6942,708.05,43.14
Punjab,Ludhiana,Ludhiana Taluka,Chhoti Khurd 826,12367,4973.67,65.86
West Bengal,Kolkata,Kolkata Taluka,Kala Wadi 827,7827,2540.18,67.29
Rajasthan,Jodhpur,Jodhpur Taluka,Nava Peta 828,8095,1621.59,83.57
Uttar Pradesh,Kanpur,Kanpur Taluka,Navanagar 829,3496,4106.98,45.39
Gujarat,Vadodara,Vadodara Taluka,Navagaon 830,11925,3559.0,88.53
Bihar,Patna,Patna Taluka,Badinagar 831,437,2548.43,
Maharashtra,Pune,Pune Taluka,Nava Pur 832,1497,2794.19,57.7
Punjab,Ludhiana,Ludhiana Taluka,Kala Gaon 833,12081,2977.14,41.89
West Bengal,Howrah,Howrah Taluka,Kala Gaon 834,13731,2127.49,86.12
Karnataka,Mangalore,Mangalore Taluka,Chhoti Gaon 835,6806,4468.56,49.07
Tamil Nadu,Chennai,Chennai Taluka,Motigarh 836,11088,3048.04,54.65
Bihar,Gaya,Gaya Taluka,Haripur 837,4722,4656.53,56.15
Maharashtra,Thane,Thane Taluka,Chhoti Garh 838,2565,624.95,62.7
Rajasthan,Kota,Kota Taluka,Motikalan 839,5961,505.22,84.91
Bihar,Bhagalpur,Bhagalpur Taluka,Chhoti Halli 840,8091,4185.9,41.07
Rajasthan,Jaipur,Jaipur Taluka,Kalagaon 841,9083,915.3,57.1
Punjab,Amritsar,Amritsar Taluka,Nava Peta 842,13877,2935.99,71.67
Punjab,Jalandhar,Jalandhar Taluka,Badigaon 843,10686,2512.58,50.47
Punjab,Amritsar,Amritsar Taluka,Lal Nagar 844,9282,4398.04,56.38
Rajasthan,Udaipur,Udaipur Taluka,Nava Peta 845,2044,1489.42,51.06
Maharashtra,Nagpur,Nagpur Taluka,Navanagar 846,6569,1169.79,91.37
Punjab,Ludhiana,Ludhiana Taluka,Naya Gaon 847,14183,4053.5,81.68
Uttar Pradesh,Agra,Agra Taluka,Motigaon 848,13595,3233.05,67.21
Punjab,Amritsar,Amritsar Taluka,Nayagarh 849,13262,501.75,60.8
Punjab,Patiala,Patiala Taluka,Chhoti Khurd 850,899,2691.89,60.94
West Bengal,Durgapur,Durgapur Taluka,Purahalli 851,12317,4438.25,70.1
Bihar,Bhagalpur,Bhagalpur Taluka,Hari Garh 852,970,4964.23,41.46
West Bengal,Darjeeling,Darjeeling Taluka,Kalagaon 853,4436,4883.15,53.93
Punjab,Bathinda,Bathinda Taluka,Badi Nagar 854,6640,3132.55,61.21
Haryana,Panipat,Panipat Taluka,Harikalan 855,8487,2877.97,86.97
Uttar Pradesh,Agra,Agra Taluka,Kala Garh 856,7162,4546.21,52.03
Gujarat,Ahmedabad,Ahmedabad Taluka,Chhoti Nagar 857,,2817.18,45.39
Uttar Pradesh,Lucknow,Lucknow Taluka,Moti Garh 858,11219,4541.74,55.6
Gujarat,Rajkot,Rajkot Taluka,Nayakalan 859,5882,2051.7,43.28
West Bengal,Kolkata,Kolkata Taluka,Lal Kalan 860,7938,4896.86,94.46
Rajasthan,Jodhpur,Jodhpur Taluka,Kalapur 861,1153,3070.54,91.9
Maharashtra,Nashik,Nashik Taluka,Nava Gaon 862,8365,3224.95,56.95
Tamil Nadu,Salem,Salem Taluka,Lalhalli 863,8014,4894.3,66.82
Haryana,Faridabad,Faridabad Taluka,Nava Wadi 864,13034,1205.29,93.1
Maharashtra,Thane,Thane Taluka,Kalakhurd 865,10733,3479.24,51.22
Maharashtra,Nagpur,Nagpur Taluka,Nava Nagar 866,13953,1764.44,62.56
West Bengal,Howrah,Howrah Taluka,Navawadi 867,3624,1899.35,51.42
Gujarat,Bhavnagar,Bhavnagar Taluka,Navagaon 868,8727,3304.98,83.29
Punjab,Ludhiana,Ludhiana Taluka,Chhoti Halli 869,6607,4467.6,65.87
Punjab,Patiala,Patiala Taluka,Chhoti Gaon 870,2911,833.15,
Haryana,Gurugram,Gurugram Taluka,Chhotigarh 871,9690,3715.66,85.62
West Bengal,Durgapur,Durgapur Taluka,Moti Peta 872,1866,3816.85,73.7
Punjab,Ludhiana,Ludhiana Taluka,Harigarh 873,6881,2824.76,60.47
Maharashtra,Thane,Thane Taluka,Lalpeta 874,13185,4703.84,78.23
Maharashtra,Thane,Thane Taluka,Kala Khurd 875,6022,4649.38,78.1
Punjab,Ludhiana,Ludhiana Taluka,Badi Khurd 876,8677,2362.92,63.48
Rajasthan,Jodhpur,Jodhpur Taluka,Lal Gaon 877,7211,3073.83,61.67
Haryana,Rohtak,Rohtak Taluka,Lal Garh 878,11531,3868.35,88.21
Tamil Nadu,Coimbatore,Coimbatore Taluka,Badihalli 879,7149,3860.88,79.76
Maharashtra,Thane,Thane Taluka,Harikhurd 880,4138,3710.42,61.03
Maharashtra,Thane,Thane Taluka,Badi Khurd 881,6941,394.73,65.2
Gujarat,Ahmedabad,Ahmedabad Taluka,Badi Khurd 882,317,4541.2,42.24
Rajasthan,Jodhpur,Jodhpur Taluka,Chhoti Gaon 883,12170,2936.4,63.2
Uttar Pradesh,Agra,Agra Taluka,Chhotikhurd 884,6296,2913.96,
Karnataka,Hubli,Hubli Taluka,Chhoti Kalan 885,12372,1653.26,64.58
Maharashtra,Mumbai,Mumbai Taluka,Kala Garh 886,1574,2816.85,61.38
Rajasthan,Udaipur,Udaipur Taluka,Lal Nagar 887,11260,1296.53,43.93
Maharashtra,Nashik,Nashik Taluka,Kala Gaon 888,5075,4672.04,85.79
Rajasthan,Jodhpur,Jodhpur Taluka,Kala Wadi 889,4815,204.09,73.29
Bihar,Gaya,Gaya Taluka,Badi Wadi 890,1654,2134.1,87.02
Maharashtra,Pune,Pune Taluka,Lal Khurd 891,4808,1011.36,47.65
Punjab,Bathinda,Bathinda Taluka,Hari Peta 892,4715,986.03,76.99
Gujarat,Ahmedabad,Ahmedabad Taluka,Kala Nagar 893,7767,3281.42,70.4
Karnataka,Bangalore,Bangalore Taluka,Lalwadi 894,2206,3677.07,58.57
Haryana,Rohtak,Rohtak Taluka,Nava Nagar 895,11071,1794.42,53.1
West Bengal,Siliguri,Siliguri Taluka,Badinagar 896,9699,1393.2,92.64
Karnataka,Mysore,Mysore Taluka,Moti Peta 897,6957,4605.76,71.3
Haryana,Gurugram,Gurugram Taluka,Harihalli 898,12112,2940.33,
Rajasthan,Jodhpur,Jodhpur Taluka,Chhotikhurd 899,1214,853.29,68.95
Rajasthan,Udaipur,Udaipur Taluka,Kala Halli 900,12494,1633.65,48.16
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Moti Khurd 901,10865,363.67,81.6
West Bengal,Howrah,Howrah Taluka,Lal Peta 902,3839,3719.58,77.46
Punjab,Ludhiana,Ludhiana Taluka,Badi Wadi 903,3856,3030.45,79.95
Bihar,Purnia,Purnia Taluka,Nava Nagar 904,1141,4170.92,59.64
Haryana,Ambala,Ambala Taluka,Kalahalli 905,4442,250.25,74.3
West Bengal,Durgapur,Durgapur Taluka,Harinagar 906,6614,3035.35,66.86
Gujarat,Ahmedabad,Ahmedabad Taluka,Nava Halli 907,3888,2446.44,74.42
West Bengal,Kolkata,Kolkata Taluka,Puragaon 908,9026,3689.36,75.56
Rajasthan,Jaipur,Jaipur Taluka,Nava Wadi 909,5158,1805.14,69.33
Maharashtra,Thane,Thane Taluka,Pura Kalan 910,1845,3370.83,77.8
Haryana,Gurugram,Gurugram Taluka,Badinagar 911,9677,4321.96,87.44
Tamil Nadu,Salem,Salem Taluka,Motikhurd 912,12203,3258.7,87.54
West Bengal,Darjeeling,Darjeeling Taluka,Navapeta 913,13249,3773.69,63.02
Bihar,Purnia,Purnia Taluka,Lal Khurd 914,9046,4864.79,
Rajasthan,Jaipur,Jaipur Taluka,Badi Khurd 915,3633,4167.33,64.8
Tamil Nadu,Chennai,Chennai Taluka,Navapeta 916,7715,1560.81,83.72
Rajasthan,Ajmer,Ajmer Taluka,Chhotinagar 917,9984,2774.67,83.94
Haryana,Ambala,Ambala Taluka,Kala Garh 918,5390,2211.89,82.52
Haryana,Faridabad,Faridabad Taluka,Lal Wadi 919,3935,1002.15,69.01
Tamil Nadu,Salem,Salem Taluka,Nayawadi 920,7795,3404.48,76.01
Tamil Nadu,Coimbatore,Coimbatore Taluka,Chhoti Kalan 921,9315,190.51,77.03
Bihar,Patna,Patna Taluka,Puragaon 922,12773,777.66,79.19
Karnataka,Mangalore,Mangalore Taluka,Lalkalan 923,9305,3609.59,56.21
Bihar,Purnia,Purnia Taluka,Badi Wadi 924,14002,156.16,43.61
Tamil Nadu,Madurai,Madurai Taluka,Naya Gaon 925,10753,2074.98,60.39
Tamil Nadu,Chennai,Chennai Taluka,Navagaon 926,3076,4151.0,79.01
Bihar,Purnia,Purnia Taluka,Naya Gaon 927,11402,1854.74,46.67
Punjab,Amritsar,Amritsar Taluka,Kalakalan 928,13934,2644.45,85.07
Karnataka,Hubli,Hubli Taluka,Naya Garh 929,10010,2586.93,43.96
Bihar,Muzaffarpur,Muzaffarpur Taluka,Chhotigaon 930,14634,1407.95,84.61
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Naya Nagar 931,186,591.31,53.22
Punjab,Bathinda,Bathinda Taluka,Pura Gaon 932,8286,3195.81,88.09
Gujarat,Surat,Surat Taluka,Kalapur 933,14997,3276.88,60.02
Punjab,Amritsar,Amritsar Taluka,Pura Kalan 934,176,3592.18,51.24
Bihar,Muzaffarpur,Muzaffarpur Taluka,Motipeta 935,6600,4454.04,44.01
Uttar Pradesh,Varanasi,Varanasi Taluka,Moti Pur 936,9743,1139.74,71.21
Karnataka,Hubli,Hubli Taluka,Chhotihalli 937,5706,4827.23,91.13
West Bengal,Darjeeling,Darjeeling Taluka,Badi Garh 938,1211,4212.76,71.43
Maharashtra,Nashik,Nashik Taluka,Kala Khurd 939,14725,633.24,42.56
West Bengal,Howrah,Howrah Taluka,Kalagarh 940,3128,720.14,69.39
Punjab,Patiala,Patiala Taluka,Kala Khurd 941,4067,4471.77,84.44
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Haripur 942,8293,297.94,44.78
Rajasthan,Udaipur,Udaipur Taluka,Puragarh 943,4475,136.35,89.97
Rajasthan,Kota,Kota Taluka,Badikalan 944,12696,154.54,56.69
Gujarat,Surat,Surat Taluka,Lalpur 945,9134,1095.25,
Maharashtra,Mumbai,Mumbai Taluka,Kala Nagar 946,9208,390.76,83.94
Maharashtra,Nagpur,Nagpur Taluka,Kalanagar 947,3818,4537.31,87.38
Gujarat,Bhavnagar,Bhavnagar Taluka,Pura Garh 948,6372,1895.39,83.91
Maharashtra,Pune,Pune Taluka,Motihalli 949,14802,3371.66,89.17
Punjab,Bathinda,Bathinda Taluka,Naya Garh 950,11039,886.05,53.9
Uttar Pradesh,Varanasi,Varanasi Taluka,Kalapur 951,12853,1291.35,81.41
Maharashtra,Thane,Thane Taluka,Lalhalli 952,2478,4901.22,58.35
Maharashtra,Nagpur,Nagpur Taluka,Badipur 953,6951,2650.04,
Punjab,Patiala,Patiala Taluka,Pura Kalan 954,6852,2296.72,49.83
Uttar Pradesh,Kanpur,Kanpur Taluka,Moti Peta 955,776,2274.47,76.21
Uttar Pradesh,Lucknow,Lucknow Taluka,Chhotinagar 956,12231,4207.3,93.96
Bihar,Gaya,Gaya Taluka,Nayahalli 957,6091,657.99,66.52
Uttar Pradesh,Varanasi,Varanasi Taluka,Naya Khurd 958,14843,3651.82,51.41
Gujarat,Vadodara,Vadodara Taluka,Moti Pur 959,1528,1925.47,53.16
Tamil Nadu,Chennai,Chennai Taluka,Badi Kalan 960,7596,3453.02,84.74
Uttar Pradesh,Varanasi,Varanasi Taluka,Motiwadi 961,4244,976.02,86.37
Uttar Pradesh,Lucknow,Lucknow Taluka,Navapur 962,2536,4386.3,70.96
Tamil Nadu,Chennai,Chennai Taluka,Navakalan 963,14105,1483.86,60.8
Punjab,Amritsar,Amritsar Taluka,Badigaon 964,13939,252.08,
Tamil Nadu,Chennai,Chennai Taluka,Puragarh 965,12538,2014.48,94.4
Rajasthan,Kota,Kota Taluka,Chhotikhurd 966,13388,2952.12,41.63
Rajasthan,Kota,Kota Taluka,Nayapur 967,12901,2508.22,68.39
Karnataka,Belgaum,Belgaum Taluka,Haripeta 968,965,4799.77,63.46
Rajasthan,Jodhpur,Jodhpur Taluka,Lalpur 969,893,3358.59,47.84
Uttar Pradesh,Kanpur,Kanpur Taluka,Purahalli 970,1281,2243.52,79.26
Karnataka,Mangalore,Mangalore Taluka,Hari Wadi 971,,3581.18,85.24
Maharashtra,Pune,Pune Taluka,Pura Garh 972,6435,4980.82,83.91
Maharashtra,Thane,Thane Taluka,Chhotigarh 973,1544,3131.44,66.15
Maharashtra,Pune,Pune Taluka,Hari Wadi 974,9377,3766.37,
Punjab,Amritsar,Amritsar Taluka,Badikalan 975,9516,1475.36,48.54
West Bengal,Darjeeling,Darjeeling Taluka,Kalagarh 976,,4831.09,71.95
Uttar Pradesh,Lucknow,Lucknow Taluka,Moti Pur 977,11410,4080.67,46.35
Uttar Pradesh,Lucknow,Lucknow Taluka,Hari Khurd 978,5106,1169.61,56.42
Uttar Pradesh,Agra,Agra Taluka,Kalahalli 979,14888,4548.51,78.34
Punjab,Amritsar,Amritsar Taluka,Kalakalan 980,6364,4358.07,92.42
Tamil Nadu,Salem,Salem Taluka,Chhoti Garh 981,8656,3708.05,45.53
Gujarat,Ahmedabad,Ahmedabad Taluka,Lalpeta 982,958,1615.2,57.48
Gujarat,Vadodara,Vadodara Taluka,Chhotikalan 983,3101,2722.08,62.16
Gujarat,Vadodara,Vadodara Taluka,Harikhurd 984,8445,4705.55,
Karnataka,Bangalore,Bangalore Taluka,Moti Peta 985,4906,2157.04,90.09
Uttar Pradesh,Agra,Agra Taluka,Navagaon 986,1230,2747.3,88.93
Karnataka,Belgaum,Belgaum Taluka,Chhoti Garh 987,9142,3735.65,46.79
Tamil Nadu,Salem,Salem Taluka,Harigaon 988,2617,128.44,88.98
Haryana,Rohtak,Rohtak Taluka,Motinagar 989,8018,4465.06,73.34
Maharashtra,Thane,Thane Taluka,Lal Wadi 990,14572,1761.91,86.29
Gujarat,Bhavnagar,Bhavnagar Taluka,Badipeta 991,494,1733.53,62.59
Gujarat,Surat,Surat Taluka,Naya Gaon 992,10805,323.82,94.89
Tamil Nadu,Chennai,Chennai Taluka,Badi Garh 993,5829,1582.4,49.29
Punjab,Patiala,Patiala Taluka,Kalapur 994,9376,4357.24,
Haryana,Ambala,Ambala Taluka,Moti Garh 995,13059,2217.82,75.33
Maharashtra,Nagpur,Nagpur Taluka,Naya Garh 996,14918,2472.78,41.47
Karnataka,Mangalore,Mangalore Taluka,Purakhurd 997,6860,149.52,60.31
Haryana,Panipat,Panipat Taluka,Naya Kalan 998,7458,63.51,46.64
Rajasthan,Ajmer,Ajmer Taluka,Badiwadi 999,8494,4731.18,45.04
Gujarat,Rajkot,Rajkot Taluka,Lalnagar 1000,3361,423.97,65.95
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Moti Garh 1001,14331,476.83,53.03
Karnataka,Bangalore,Bangalore Taluka,Badipur 1002,4826,1147.01,49.44
Karnataka,Mangalore,Mangalore Taluka,Nayagarh 1003,347,3847.97,49.53
Bihar,Gaya,Gaya Taluka,Motinagar 1004,12687,4449.51,76.41
Karnataka,Hubli,Hubli Taluka,Motigaon 1005,3013,1706.77,55.73
Maharashtra,Nagpur,Nagpur Taluka,Badi Pur 1006,9919,314.89,59.49
Bihar,Patna,Patna Taluka,Nayagarh 1007,5991,3514.4,79.33
Haryana,Panipat,Panipat Taluka,Haripeta 1008,13031,385.17,79.46
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Motipeta 1009,12428,194.67,94.2
Punjab,Amritsar,Amritsar Taluka,Lal Peta 1010,7669,1222.11,77.23
Gujarat,Ahmedabad,Ahmedabad Taluka,Lal Wadi 1011,8111,4633.75,47.3
Maharashtra,Thane,Thane Taluka,Nava Kalan 1012,7046,668.64,82.43
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Kalawadi 1013,13204,898.0,80.2
Uttar Pradesh,Agra,Agra Taluka,Chhoti Gaon 1014,384,68.57,74.03
Karnataka,Mangalore,Mangalore Taluka,Naya Wadi 1015,12312,4368.58,58.36
Gujarat,Ahmedabad,Ahmedabad Taluka,Nava Gaon 1016,10749,2292.54,55.34
Uttar Pradesh,Kanpur,Kanpur Taluka,Naya Pur 1017,9797,4650.53,56.68
Punjab,Ludhiana,Ludhiana Taluka,Moti Halli 1018,6711,2452.3,80.49
Bihar,Gaya,Gaya Taluka,Lalgarh 1019,6180,1939.29,84.92
Rajasthan,Udaipur,Udaipur Taluka,Chhoti Khurd 1020,,896.01,67.82
Rajasthan,Jodhpur,Jodhpur Taluka,Harihalli 1021,10801,3600.07,77.46
Gujarat,Bhavnagar,Bhavnagar Taluka,Kalapeta 1022,3272,83.07,77.15
West Bengal,Siliguri,Siliguri Taluka,Kalagaon 1023,12378,3943.57,54.39
Karnataka,Mangalore,Mangalore Taluka,Kalakhurd 1024,8257,460.38,89.36
Punjab,Patiala,Patiala Taluka,Nayapeta 1025,3222,3482.02,73.65
Punjab,Jalandhar,Jalandhar Taluka,Moti Halli 1026,3226,2550.78,81.98
Maharashtra,Pune,Pune Taluka,Navapur 1027,9082,629.28,
Rajasthan,Kota,Kota Taluka,Moti Nagar 1028,10831,1082.61,
Karnataka,Belgaum,Belgaum Taluka,Chhoti Kalan 1029,4289,2052.48,88.08
Uttar Pradesh,Agra,Agra Taluka,Nava Khurd 1030,699,1234.78,62.99
Haryana,Rohtak,Rohtak Taluka,Badi Kalan 1031,4796,4410.65,86.37
Bihar,Purnia,Purnia Taluka,Motiwadi 1032,7641,4400.66,51.77
West Bengal,Howrah,Howrah Taluka,Navapeta 1033,14575,2945.84,90.09
Tamil Nadu,Coimbatore,Coimbatore Taluka,Nava Peta 1034,1091,2825.21,66.62
Maharashtra,Nagpur,Nagpur Taluka,Nava Garh 1035,11914,1998.66,42.25
Uttar Pradesh,Varanasi,Varanasi Taluka,Navanagar 1036,,1275.78,88.4
Maharashtra,Thane,Thane Taluka,Motigaon 1037,348,955.71,
Uttar Pradesh,Lucknow,Lucknow Taluka,Chhotiwadi 1038,6046,1512.29,91.51
Punjab,Bathinda,Bathinda Taluka,Chhotigaon 1039,10671,740.66,
Rajasthan,Udaipur,Udaipur Taluka,Nava Halli 1040,1257,3196.86,88.6
Tamil Nadu,Madurai,Madurai Taluka,Moti Gaon 1041,7266,2466.11,84.72
Punjab,Amritsar,Amritsar Taluka,Lal Halli 1042,13346,289.26,94.41
Uttar Pradesh,Kanpur,Kanpur Taluka,Kala Peta 1043,4784,3621.89,88.34
Karnataka,Hubli,Hubli Taluka,Nava Wadi 1044,8737,1519.34,88.24
Punjab,Patiala,Patiala Taluka,Moti Peta 1045,12466,97.0,68.41
Maharashtra,Nagpur,Nagpur Taluka,Nava Peta 1046,,3000.88,73.8
Haryana,Panipat,Panipat Taluka,Navahalli 1047,7485,2170.31,65.84
Tamil Nadu,Salem,Salem Taluka,Lal Peta 1048,10282,3008.45,82.9
Rajasthan,Jaipur,Jaipur Taluka,Hari Nagar 1049,4828,200.4,70.92
Uttar Pradesh,Meerut,Meerut Taluka,Naya Gaon 1050,13038,2487.12,93.95
Karnataka,Mysore,Mysore Taluka,Nava Gaon 1051,14897,2366.77,87.46
Bihar,Muzaffarpur,Muzaffarpur Taluka,Puragarh 1052,686,4850.41,69.92
West Bengal,Durgapur,Durgapur Taluka,Purapur 1053,11251,4861.95,42.56
Tamil Nadu,Chennai,Chennai Taluka,Chhotipur 1054,13907,3074.85,90.69
Uttar Pradesh,Meerut,Meerut Taluka,Badinagar 1055,10418,78.45,61.68
Haryana,Rohtak,Rohtak Taluka,Moti Garh 1056,5470,1705.57,48.2
Rajasthan,Ajmer,Ajmer Taluka,Nayawadi 1057,6917,4052.29,49.44
Karnataka,Hubli,Hubli Taluka,Lalhalli 1058,14265,3023.74,72.76
Gujarat,Ahmedabad,Ahmedabad Taluka,Kalahalli 1059,8722,2732.2,80.59
Bihar,Patna,Patna Taluka,Motipeta 1060,5043,3743.74,67.93
Gujarat,Surat,Surat Taluka,Badi Wadi 1061,3127,744.02,91.97
Haryana,Faridabad,Faridabad Taluka,Nayanagar 1062,4136,250.13,68.0
Uttar Pradesh,Kanpur,Kanpur Taluka,Navakalan 1063,14110,3437.17,65.48
Haryana,Faridabad,Faridabad Taluka,Pura Nagar 1064,527,2601.28,64.16
Tamil Nadu,Madurai,Madurai Taluka,Kala Garh 1065,14125,2433.97,
West Bengal,Durgapur,Durgapur Taluka,Kala Halli 1066,9971,3640.57,68.09
Maharashtra,Pune,Pune Taluka,Hari Pur 1067,10738,2991.68,61.5
Bihar,Patna,Patna Taluka,Moti Nagar 1068,9689,3400.47,81.79
Bihar,Bhagalpur,Bhagalpur Taluka,Hari Pur 1069,12436,3386.0,53.88
Gujarat,Ahmedabad,Ahmedabad Taluka,Lalwadi 1070,1552,3863.63,48.15
Gujarat,Vadodara,Vadodara Taluka,Purapeta 1071,7553,4591.01,57.12
Gujarat,Rajkot,Rajkot Taluka,Nava Khurd 1072,13847,168.18,81.02
Gujarat,Surat,Surat Taluka,Hari Gaon 1073,10152,414.5,40.29
Karnataka,Belgaum,Belgaum Taluka,Pura Peta 1074,316,1256.45,68.11
West Bengal,Kolkata,Kolkata Taluka,Navagaon 1075,2262,3642.69,90.97
Gujarat,Rajkot,Rajkot Taluka,Nava Gaon 1076,10929,4108.57,
West Bengal,Darjeeling,Darjeeling Taluka,Lal Peta 1077,2702,4403.71,83.71
Uttar Pradesh,Lucknow,Lucknow Taluka,Moti Pur 1078,7181,3787.11,61.54
Uttar Pradesh,Varanasi,Varanasi Taluka,Lal Kalan 1079,11591,4647.54,55.09
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Nayapur 1080,13659,878.82,75.24
Uttar Pradesh,Meerut,Meerut Taluka,Nava Halli 1081,7412,2135.93,72.39
West Bengal,Durgapur,Durgapur Taluka,Nayakhurd 1082,1654,2095.79,72.46
Karnataka,Belgaum,Belgaum Taluka,Navawadi 1083,3192,3264.88,83.17
West Bengal,Siliguri,Siliguri Taluka,Badipeta 1084,4943,377.13,42.39
Uttar Pradesh,Agra,Agra Taluka,Lalpur 1085,8531,67.88,68.04
Rajasthan,Kota,Kota Taluka,Puragaon 1086,4531,2840.46,89.29
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Lalkhurd 1087,215,567.66,86.93
Gujarat,Vadodara,Vadodara Taluka,Navakhurd 1088,2097,4617.4,84.02
Rajasthan,Ajmer,Ajmer Taluka,Moti Halli 1089,5047,4445.44,46.59
Uttar Pradesh,Kanpur,Kanpur Taluka,Puragaon 1090,13656,2795.11,47.22
Punjab,Jalandhar,Jalandhar Taluka,Moti Kalan 1091,8322,2167.87,92.23
Karnataka,Mangalore,Mangalore Taluka,Chhotinagar 1092,3311,3031.73,62.98
Bihar,Gaya,Gaya Taluka,Kalakhurd 1093,1383,3024.04,87.59
Haryana,Panipat,Panipat Taluka,Chhotipur 1094,9756,2092.73,81.93
Tamil Nadu,Coimbatore,Coimbatore Taluka,Navanagar 1095,,3035.07,84.89
Bihar,Gaya,Gaya Taluka,Lalgaon 1096,11265,532.42,72.48
Uttar Pradesh,Varanasi,Varanasi Taluka,Purakalan 1097,8548,1761.37,85.03
Maharashtra,Nashik,Nashik Taluka,Lal Halli 1098,12908,2994.14,76.06
Karnataka,Hubli,Hubli Taluka,Chhoti Khurd 1099,,278.7,64.72
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Moti Gaon 1100,8581,1436.34,41.04
Rajasthan,Jodhpur,Jodhpur Taluka,Navagarh 1101,5435,4722.5,45.55
Punjab,Ludhiana,Ludhiana Taluka,Badikhurd 1102,9059,1664.05,59.87
